"x","y","country","gender"
-932.625512281759,6.0104650674226e-08,"Japan","all"
-876.466743153455,1.02163007498138e-07,"Japan","all"
-820.30797402515,1.68216378307647e-07,"Japan","all"
-764.149204896846,2.68533491144414e-07,"Japan","all"
-707.990435768542,4.15952622655854e-07,"Japan","all"
-651.831666640237,6.27808057682417e-07,"Japan","all"
-595.672897511933,9.26639439728643e-07,"Japan","all"
-539.514128383629,1.32472313968187e-06,"Japan","all"
-483.355359255324,1.83589175448304e-06,"Japan","all"
-427.19659012702,2.46875966734241e-06,"Japan","all"
-371.037820998716,3.22438044039428e-06,"Japan","all"
-314.879051870411,4.09448217781345e-06,"Japan","all"
-258.720282742107,5.06071706803758e-06,"Japan","all"
-202.561513613803,6.09524970121156e-06,"Japan","all"
-146.402744485498,7.16281499218988e-06,"Japan","all"
-90.2439753571938,8.22412822290091e-06,"Japan","all"
-34.0852062288894,9.24026561709632e-06,"Japan","all"
22.0735628994149,1.01774014314348e-05,"Japan","all"
78.2323320277193,1.10031468650759e-05,"Japan","all"
134.391101156024,1.17119247068682e-05,"Japan","all"
190.549870284328,1.23126282483276e-05,"Japan","all"
246.708639412632,1.28232049354921e-05,"Japan","all"
302.867408540937,1.32700577482664e-05,"Japan","all"
359.026177669241,1.36842259550286e-05,"Japan","all"
415.184946797545,1.4097624475313e-05,"Japan","all"
471.34371592585,1.45399110166489e-05,"Japan","all"
527.502485054154,1.50363441914002e-05,"Japan","all"
583.661254182458,1.56067564474668e-05,"Japan","all"
639.820023310763,1.62655387658677e-05,"Japan","all"
695.978792439067,1.70223592268859e-05,"Japan","all"
752.137561567371,1.78852797981187e-05,"Japan","all"
808.296330695676,1.88640593262577e-05,"Japan","all"
864.45509982398,1.99518791548633e-05,"Japan","all"
920.613868952285,2.11482860376478e-05,"Japan","all"
976.772638080589,2.24510092091797e-05,"Japan","all"
1032.93140720889,2.38555327772953e-05,"Japan","all"
1089.0901763372,2.53546733918026e-05,"Japan","all"
1145.2489454655,2.69382993889882e-05,"Japan","all"
1201.40771459381,2.85932908848383e-05,"Japan","all"
1257.56648372211,3.03037994025483e-05,"Japan","all"
1313.72525285041,3.20518245730713e-05,"Japan","all"
1369.88402197872,3.3818086556129e-05,"Japan","all"
1426.04279110702,3.55831371891911e-05,"Japan","all"
1482.20156023533,3.73262760841319e-05,"Japan","all"
1538.36032936363,3.90307858481706e-05,"Japan","all"
1594.51909849194,4.06866183583982e-05,"Japan","all"
1650.67786762024,4.22879184718419e-05,"Japan","all"
1706.83663674855,4.38341474154614e-05,"Japan","all"
1762.99540587685,4.53302354319101e-05,"Japan","all"
1819.15417500515,4.67864577459819e-05,"Japan","all"
1875.31294413346,4.82180630741988e-05,"Japan","all"
1931.47171326176,4.96446668043051e-05,"Japan","all"
1987.63048239007,5.10893969326452e-05,"Japan","all"
2043.78925151837,5.25777613622592e-05,"Japan","all"
2099.94802064668,5.41362017676015e-05,"Japan","all"
2156.10678977498,5.57917090575565e-05,"Japan","all"
