country,steps_gini,obesity_mean,age_cat
Hong Kong,0.200629778389,0.0289855072464,"Age [20, 30)"
Hungary,0.267201792221,0.0731707317073,"Age [20, 30)"
India,0.274906673849,0.124661246612,"Age [20, 30)"
Indonesia,0.282912380275,0.0728155339806,"Age [20, 30)"
Ireland,0.256615887207,0.124688279302,"Age [20, 30)"
Israel,0.25640790651,0.121621621622,"Age [20, 30)"
Italy,0.272745488037,0.0351390922401,"Age [20, 30)"
Japan,0.224926631254,0.0334117647059,"Age [20, 30)"
Malaysia,0.277855401482,0.137174211248,"Age [20, 30)"
Mexico,0.251166166748,0.141176470588,"Age [20, 30)"
Netherlands,0.242300221048,0.0572597137014,"Age [20, 30)"
New Zealand,0.275374992966,0.104513064133,"Age [20, 30)"
Norway,0.239960719935,0.0851688693098,"Age [20, 30)"
Philippines,0.313203541953,0.111380145278,"Age [20, 30)"
Poland,0.261350222358,0.0419161676647,"Age [20, 30)"
Portugal,0.269295076085,0.0757575757576,"Age [20, 30)"
Qatar,0.283835138463,0.185714285714,"Age [20, 30)"
Romania,0.290110073362,0.0560344827586,"Age [20, 30)"
Russia,0.243702889276,0.0529695024077,"Age [20, 30)"
Saudi Arabia,0.297193644059,0.203947368421,"Age [20, 30)"
Singapore,0.213061399158,0.0721153846154,"Age [20, 30)"
South Africa,0.286128963117,0.138461538462,"Age [20, 30)"
South Korea,0.246151744056,0.0432569974555,"Age [20, 30)"
Spain,0.240409341788,0.0635118306351,"Age [20, 30)"
Sweden,0.230829186802,0.0855365474339,"Age [20, 30)"
Switzerland,0.227070037445,0.0421052631579,"Age [20, 30)"
Taiwan,0.244911366382,0.0573248407643,"Age [20, 30)"
Thailand,0.249834290892,0.0670826833073,"Age [20, 30)"
Turkey,0.250295517521,0.0896464646465,"Age [20, 30)"
Ukraine,0.224223292142,0.0459770114943,"Age [20, 30)"
United Arab Emirates,0.287199270399,0.18,"Age [20, 30)"
United Kingdom,0.263879259089,0.138560687433,"Age [20, 30)"
United States,0.277512052172,0.209664522226,"Age [20, 30)"
Australia,0.293216407984,0.234393063584,"Age [30, 40)"
Belgium,0.251515101148,0.0926430517711,"Age [30, 40)"
Brazil,0.25842008335,0.207951070336,"Age [30, 40)"
Canada,0.28804663517,0.255274261603,"Age [30, 40)"
Chile,0.238137522078,0.165413533835,"Age [30, 40)"
China,0.227232917669,0.0428015564202,"Age [30, 40)"
Czech Republic,0.242189649296,0.153179190751,"Age [30, 40)"
Denmark,0.24274561593,0.146853146853,"Age [30, 40)"
Egypt,0.286340723724,0.273504273504,"Age [30, 40)"
Finland,0.247718226325,0.137777777778,"Age [30, 40)"
France,0.252031012639,0.090026478376,"Age [30, 40)"
Germany,0.247339542636,0.143209876543,"Age [30, 40)"
Greece,0.281025614953,0.146017699115,"Age [30, 40)"
Hong Kong,0.209182113738,0.0727762803235,"Age [30, 40)"
Hungary,0.274142506386,0.122807017544,"Age [30, 40)"
India,0.271412071639,0.200113058225,"Age [30, 40)"
Indonesia,0.26598005105,0.142857142857,"Age [30, 40)"
Ireland,0.260859878989,0.165354330709,"Age [30, 40)"
Israel,0.237571517983,0.126262626263,"Age [30, 40)"
Italy,0.263585130242,0.0903703703704,"Age [30, 40)"
Japan,0.233724041307,0.0581602373887,"Age [30, 40)"
Malaysia,0.286340756995,0.167164179104,"Age [30, 40)"
Mexico,0.259634752858,0.215909090909,"Age [30, 40)"
Netherlands,0.247949560562,0.103644646925,"Age [30, 40)"
New Zealand,0.286844169919,0.226973684211,"Age [30, 40)"
Norway,0.253410873092,0.13829787234,"Age [30, 40)"
Philippines,0.286057211118,0.152849740933,"Age [30, 40)"
Poland,0.26232340635,0.135204081633,"Age [30, 40)"
Portugal,0.269941982249,0.0917030567686,"Age [30, 40)"
Qatar,0.277817613236,0.280952380952,"Age [30, 40)"
Romania,0.264896229084,0.140625,"Age [30, 40)"
Russia,0.257035763519,0.133234641007,"Age [30, 40)"
Saudi Arabia,0.294649133766,0.328545780969,"Age [30, 40)"
Singapore,0.234158341444,0.104597701149,"Age [30, 40)"
South Africa,0.266308505436,0.257575757576,"Age [30, 40)"
South Korea,0.229117993283,0.0687830687831,"Age [30, 40)"
Spain,0.246458534804,0.125472411187,"Age [30, 40)"
Sweden,0.218268009323,0.123263888889,"Age [30, 40)"
Switzerland,0.238059324058,0.0769230769231,"Age [30, 40)"
Taiwan,0.242609607424,0.0828471411902,"Age [30, 40)"
Thailand,0.264882171101,0.095168374817,"Age [30, 40)"
Turkey,0.236139421348,0.13925729443,"Age [30, 40)"
