"x","y","country"
-932.625635764336,6.01046291616548e-08,"Japan"
-876.46687593747,1.02162973997705e-07,"Japan"
-820.308116110603,1.68216325537684e-07,"Japan"
-764.149356283737,2.68533406028902e-07,"Japan"
-707.990596456871,4.15952482015357e-07,"Japan"
-651.831836630005,6.27807287130467e-07,"Japan"
-595.673076803138,9.26638379009689e-07,"Japan"
-539.514316976272,1.3247217263271e-06,"Japan"
-483.355557149406,1.83588992809779e-06,"Japan"
-427.196797322539,2.46875737458712e-06,"Japan"
-371.038037495673,3.22437764095014e-06,"Japan"
-314.879277668807,4.09447885159381e-06,"Japan"
-258.720517841941,5.06071322358714e-06,"Japan"
-202.561758015074,6.09524538436179e-06,"Japan"
-146.402998188208,7.1628102927933e-06,"Japan"
-90.2442383613418,8.22412327641031e-06,"Japan"
-34.0854785344754,9.2402605976473e-06,"Japan"
22.0732812923909,1.01773965344931e-05,"Japan"
78.2320411192571,1.10031429915285e-05,"Japan"
134.390800946123,1.17119212353615e-05,"Japan"
190.54956077299,1.23126251497789e-05,"Japan"
246.708320599856,1.28232021354635e-05,"Japan"
302.867080426722,1.32700551324465e-05,"Japan"
359.025840253589,1.3684223377735e-05,"Japan"
415.184600080455,1.4097621771055e-05,"Japan"
471.343359907321,1.4539908013984e-05,"Japan"
527.502119734188,1.50363407272452e-05,"Japan"
583.660879561054,1.56067523793136e-05,"Japan"
639.81963938792,1.62655339795019e-05,"Japan"
695.978399214786,1.70223536382634e-05,"Japan"
752.137159041652,1.78852727170386e-05,"Japan"
808.295918868519,1.88640513403623e-05,"Japan"
864.454678695385,1.99518702505825e-05,"Japan"
920.613438522251,2.11482762070308e-05,"Japan"
976.772198349118,2.24509984497321e-05,"Japan"
1032.93095817598,2.38555210934916e-05,"Japan"
1089.08971800285,2.5354660798455e-05,"Japan"
1145.24847782972,2.69382859161744e-05,"Japan"
1201.40723765658,2.85932765835104e-05,"Japan"
1257.56599748345,3.03037843494643e-05,"Japan"
1313.72475731032,3.20518088734443e-05,"Japan"
1369.88351713718,3.38180703424534e-05,"Japan"
1426.04227696405,3.55831206151478e-05,"Japan"
1482.20103679091,3.73262595335048e-05,"Japan"
1538.35979661778,3.90307693330964e-05,"Japan"
1594.51855644465,4.06866019622666e-05,"Japan"
1650.67731627151,4.22879022327089e-05,"Japan"
1706.83607609838,4.38341313205308e-05,"Japan"
1762.99483592525,4.53302194172796e-05,"Japan"
1819.15359575211,4.67864417013462e-05,"Japan"
1875.31235557898,4.82180468513534e-05,"Japan"
1931.47111540584,4.96446502277105e-05,"Japan"
1987.62987523271,5.10893798101606e-05,"Japan"
2043.78863505958,5.2577743494568e-05,"Japan"
2099.94739488644,5.41361829557902e-05,"Japan"
2156.10615471331,5.57916884792184e-05,"Japan"
2212.26491454018,5.75774519022471e-05,"Japan"
2268.42367436704,5.95005730543844e-05,"Japan"
2324.58243419391,6.1568150702132e-05,"Japan"
2380.74119402077,6.37780632938986e-05,"Japan"
2436.89995384764,6.61185587157423e-05,"Japan"
2493.05871367451,6.85687361328334e-05,"Japan"
2549.21747350137,7.10998766004133e-05,"Japan"
2605.37623332824,7.36774700052451e-05,"Japan"
2661.53499315511,7.62637101643252e-05,"Japan"
2717.69375298197,7.8820196183677e-05,"Japan"
2773.85251280884,8.13105875226203e-05,"Japan"
2830.01127263571,8.37030064499018e-05,"Japan"
2886.17003246257,8.59642207814874e-05,"Japan"
2942.32879228944,8.80781998350741e-05,"Japan"
2998.4875521163,9.00449817714258e-05,"Japan"
3054.64631194317,9.18692983443767e-05,"Japan"
3110.80507177004,9.3565139488683e-05,"Japan"
3166.9638315969,9.51547460038438e-05,"Japan"
3223.12259142377,9.66669037059012e-05,"Japan"
3279.28135125064,9.81345592831993e-05,"Japan"
3335.4401110775,9.95918783140468e-05,"Japan"
3391.59887090437,0.000101070976245293,"Japan"
3447.75763073123,0.000102598651232603,"Japan"
3503.9163905581,0.000104193511405665,"Japan"
3560.07515038497,0.000105864193579445,"Japan"
3616.23391021183,0.000107612287415342,"Japan"
3672.3926700387,0.000109414332223528,"Japan"
3728.55142986557,0.000111246377392421,"Japan"
3784.71018969243,0.000113080601115204,"Japan"
3840.8689495193,0.000114889177295339,"Japan"
3897.02770934616,0.000116648067481147,"Japan"
3953.18646917303,0.000118340291768619,"Japan"
4009.3452289999,0.000119958300886823,"Japan"
4065.50398882676,0.000121505175037067,"Japan"
4121.66274865363,0.0001229945058151,"Japan"
4177.8215084805,0.000124448966049768,"Japan"
4233.98026830736,0.000125897726794934,"Japan"
4290.13902813423,0.000127375988595954,"Japan"
4346.2977879611,0.000128918980760644,"Japan"
